,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
0,129,1,0,Spirited Away,Released,jp,tt0245429,125.0,276.0,ja,movie,2001-07-20,2001.0,ja,tt0245429,129,276.0,fx
1,1333100,2,0,Attack on Titan: THE LAST ATTACK,released,jp,tt33175825,145.0,,ja,movie,2024-03-20,2024.0,ja,tt33175825,1333100,,3l0j1
2,12477,3,0,Grave of the Fireflies,Released,jp,tt0095327,89.0,131182.0,ja,movie,1988-04-16,1988.0,ja,tt0095327,12477,131182.0,16w
3,533514,4,0,Violet Evergarden: The Movie,Released,jp,tt8652818,140.0,133610.0,ja,movie,2020-09-18,2020.0,ja,tt8652818,533514,133610.0,346v
4,1244492,5,0,Look Back,released,jp,tt31711040,58.0,353943.0,ja,movie,2024-06-28,2024.0,ja,tt31711040,1244492,353943.0,3bydv
5,2011,6,0,Persepolis,released,fr,tt0808417,95.0,6040.0,fr,movie,2007-06-27,2007.0,fr,tt0808417,2011,6040.0,c2l9
6,680813,7,0,Flee,Released,dk,tt8430054,89.0,136107.0,da,movie,2021-06-17,2021.0,da,tt8430054,680813,136107.0,1ysx
7,441130,8,0,Wolfwalkers,released,ie,tt5198068,102.0,54383.0,en,movie,2020-10-26,2020.0,en,tt5198068,441130,54383.0,1ymb
8,149871,9,0,The Tale of The Princess Kaguya,released,jp,tt2576852,137.0,4922.0,ja,movie,2013-11-23,2013.0,ja,tt2576852,149871,4922.0,2k9
9,128,10,0,Princess Mononoke,Released,jp,tt0119698,134.0,791.0,ja,movie,1997-07-12,1997.0,ja,tt0119698,128,791.0,ql
10,372058,11,0,Your Name.,released,jp,tt5311514,106.0,197.0,ja,movie,2016-08-26,2016.0,ja,tt5311514,372058,197.0,q8
11,8392,12,0,My Neighbor Totoro,Released,jp,tt0096283,86.0,339.0,ja,movie,1988-04-16,1988.0,ja,tt0096283,8392,339.0,p0
