movie_index,production_company,movie_id
0,Studio Ghibli,129
0,Tokuma Shoten,129
0,Nippon Television Network Corporation,129
0,Mitsubishi,129
0,dentsu,129
0,TFC,129
1,MAPPA,1333100
1,Pony Canyon,1333100
2,Studio Ghibli,12477
3,Kyoto Animation,533514
3,ABC Animation,533514
3,Pony Canyon,533514
3,Bandai Namco Arts,533514
3,Rakuonsha,533514
4,Studio Durian,1244492
4,avex pictures,1244492
4,Shueisha,1244492
5,Société des Producteurs de L'Angoa,2011
5,Sony Pictures Classics,2011
5,PROCIREP,2011
5,Soficinéma,2011
5,France 3 Cinéma,2011
5,Diaphana Films,2011
5,Sofica EuropaCorp,2011
5,Celluloid Dreams,2011
5,The Kennedy/Marshall Company,2011
5,La Région Île-de-France,2011
5,Fondation GAN pour le Cinéma,2011
5,2.4.7. Films,2011
5,French Connection Animations,2011
5,CNC,2011
6,Final Cut for Real,680813
6,Vivement lundi !,680813
6,Sun Creature,680813
6,Participant,680813
6,MostFilm,680813
6,Mer Film,680813
6,VPRO,680813
6,Vice Studios,680813
6,RYOT Films,680813
6,Left Handed Films,680813
6,ARTE,680813
6,RTV Slovenija,680813
6,Estonian Public Broadcasting (ERR),680813
6,MEDIA Programme of the European Union,680813
6,I Wonder Pictures,680813
7,Cartoon Saloon,441130
7,Melusine Productions,441130
7,Haut et Court,441130
7,Canal+,441130
7,RTÉ,441130
7,OCS,441130
7,Folivari,441130
7,GKIDS,441130
7,Value & Power Culture Communications,441130
7,Fís Éireann/Screen Ireland,441130
8,Studio Ghibli,149871
8,Hakuhodo DY Media Partners,149871
8,KDDI,149871
8,Mitsubishi Shoji,149871
8,Nippon Television Network Corporation,149871
8,TOHO,149871
8,T2 Studio,149871
9,Studio Ghibli,128
9,dentsu,128
9,Tokuma Shoten,128
9,Nippon Television Network Corporation,128
9,Nibariki,128
9,TNDG,128
10,CoMix Wave Films,372058
10,TOHO,372058
10,KADOKAWA,372058
10,jeki,372058
10,AMUSE,372058
10,voque ting,372058
10,Lawson Entertainment,372058
11,Studio Ghibli,8392
11,Nibariki,8392
11,Tokuma Shoten,8392
12,khara,283566
13,Kyoto Animation,378064
13,ABC Animation,378064
13,Kodansha,378064
13,Pony Canyon,378064
13,Quaras,378064
13,Shochiku,378064
14,Walt Disney Pictures,8587
14,Walt Disney Feature Animation,8587
15,Bitter Films,86517
16,The Cat in the Hat Productions,13377
16,MGM Animation/Visual Arts,13377
16,MGM Television,13377
17,Bitter Films,303867
18,Independent Lens,381028
18,Go-Valley,381028
19,Warner Bros. Feature Animation,10386
20,Bitter Films,489412
21,BONES,652837
21,KADOKAWA,652837
21,Shochiku,652837
21,jeki,652837
21,TOY'S FACTORY,652837
21,KDDI,652837
21,Movie Walker,652837
