genre,movie_id
Animation,569094
 Action,569094
 Adventure,569094
 Science Fiction,569094
Animation,324857
 Action,324857
 Adventure,324857
 Science Fiction,324857
Family,1184918
 Animation,1184918
 Science Fiction,1184918
 Adventure,1184918
Animation,823219
 Adventure,823219
 Fantasy,823219
 Family,823219
Animation,2062
 Comedy,2062
 Family,2062
 Fantasy,2062
Family,354912
 Animation,354912
 Music,354912
 Adventure,354912
Animation,14160
 Comedy,14160
 Family,14160
 Adventure,14160
Animation,12
 Family,12
 Adventure,12
Animation,150540
 Family,150540
 Adventure,150540
 Drama,150540
 Comedy,150540
Family,862
 Comedy,862
 Animation,862
 Adventure,862
Family,301528
 Comedy,301528
 Animation,301528
 Adventure,301528
Animation,863
 Comedy,863
 Family,863
Animation,808
 Comedy,808
 Fantasy,808
 Adventure,808
 Family,808
Animation,10193
 Family,10193
 Comedy,10193
Family,399106
 Animation,399106
Action,9806
 Adventure,9806
 Animation,9806
 Family,9806
Adventure,1084242
 Animation,1084242
 Comedy,1084242
 Family,1084242
 Mystery,1084242
Animation,585
 Comedy,585
 Family,585
Animation,315162
 Adventure,315162
 Fantasy,315162
 Comedy,315162
 Family,315162
Animation,508442
 Family,508442
 Drama,508442
 Music,508442
 Fantasy,508442
Fantasy,82702
 Action,82702
 Adventure,82702
 Animation,82702
 Family,82702
Fantasy,10191
 Adventure,10191
 Animation,10191
 Family,10191
Animation,269149
 Adventure,269149
 Family,269149
 Comedy,269149
Animation,13042
 Family,13042
 Comedy,13042
Animation,501929
 Adventure,501929
 Comedy,501929
Animation,1327819
 Family,1327819
 Science Fiction,1327819
 Comedy,1327819
 Adventure,1327819
Fantasy,803796
 Music,803796
 Comedy,803796
 Animation,803796
Animation,527774
 Family,527774
 Fantasy,527774
 Adventure,527774
 Action,527774
Adventure,277834
 Comedy,277834
 Family,277834
 Animation,277834
Animation,736073
 Mystery,736073
 Action,736073
 Crime,736073
Animation,698687
 Science Fiction,698687
 Adventure,698687
 Family,698687
Animation,514754
 Family,514754
 Fantasy,514754
 Drama,514754
 Comedy,514754
Animation,83564
 Family,83564
 Fantasy,83564
Action,260513
 Adventure,260513
 Animation,260513
 Family,260513
Animation,166428
 Family,166428
 Adventure,166428
Animation,38757
 Family,38757
 Adventure,38757
Animation,1234397
 Documentary,1234397
Animation,1022789
 Adventure,1022789
 Comedy,1022789
 Family,1022789
Animation,568124
 Comedy,568124
 Family,568124
 Fantasy,568124
Animation,13929
 Comedy,13929
 Family,13929
Animation,13930
 Family,13930
 Comedy,13930
Adventure,177572
 Family,177572
 Animation,177572
 Action,177572
 Comedy,177572
Action,980477
 Adventure,980477
 Animation,980477
 Fantasy,980477
Animation,886396
 Action,886396
 Science Fiction,886396
Animation,610150
 Science Fiction,610150
 Action,610150
Adventure,213121
 Animation,213121
 Comedy,213121
 Family,213121
Family,13060
 Animation,13060
 Science Fiction,13060
 Comedy,13060
Animation,44896
 Comedy,44896
 Family,44896
 Western,44896
 Adventure,44896
Action,9502
 Animation,9502
