movie_id,rating
129,PG
1333100,NR
12477,NR
533514,PG
1244492,NR
2011,PG-13
680813,PG-13
441130,PG
149871,PG
128,PG-13
372058,PG
8392,G
283566,NR
378064,NR
8587,G
86517,
13377,G
303867,
381028,
10386,PG
489412,
652837,
40662,PG-13
504253,
22504,
362585,R
126319,PG
8885,R
110420,PG
183011,PG-13
81,PG
856,PG
1311031,R
997317,NR
810693,PG-13
14813,G
4935,PG
508883,PG-13
713776,PG
572154,NR
618344,R
537061,PG
13187,NR
36865,PG-13
9662,PG-13
15080,PG
110416,PG
10515,PG
12429,G
838240,NR
812225,PG-13
682012,PG
11621,PG
10494,R
13353,G
812,G
20722,
573730,R
508965,PG
635302,R
476292,NR
10895,G
408,G
212162,
9081,R
37797,G
149,R
916224,PG
712454,PG
16234,PG
21712,
13398,PG-13
568012,PG-13
378108,PG-13
33320,PG
41201,PG
435129,PG-13
337703,PG
4977,R
9323,NR
10674,G
1575337,PG
1012201,PG-13
13396,G
16859,G
592350,PG-13
568160,PG-13
10857,
21348,PG
472983,G
13980,PG
14282,NR
14092,
250480,G
76589,PG-13
149870,PG-13
37135,G
1357633,R
1062807,PG-13
732203,
586940,
553600,PG-13
505262,PG-13
18874,
340357,
16306,PG
71689,G
13151,PG
11049,PG
92321,G
26963,NR
11704,G
242828,PG
315465,PG-13
51739,G
11544,PG
1165642,PG
804370,PG
802401,PG-13
776305,PG
14069,NR
71883,NR
53565,G
503314,PG
475946,PG-13
396899,
330081,R
120811,
223706,PG
9606,PG-13
354857,PG
292177,G
9385,
594328,G
42994,PG-13
1056444,PG
995133,G
947219,PG
887870,NR
820067,
11688,G
63498,NR
9837,PG
666243,R
361705,NR
3170,G
10882,G
11360,G
11224,G
20007,G
15916,NR
41498,PG-13
14919,PG
11299,R
11970,G
55931,NR
1159311,PG-13
900667,PG-13
828898,R
664996,PG-13
10545,G
13754,R
504827,PG-13
642538,PG-13
521296,PG
530079,
15374,G
10340,G
9325,G
49565,
14572,PG-13
30060,NR
15999,R
317442,PG-13
22843,NR
28874,PG
321528,PG-13
69735,PG-13
339877,PG-13
9444,G
761898,PG-13
587092,NR
579741,PG
35,PG-13
15283,G
10150,G
10198,G
430214,PG-13
510318,PG-13
474395,PG
453364,
52032,
22501,
51859,PG-13
176983,PG-13
144288,
11837,PG
347201,PG-13
83389,PG
198375,PG-13
15370,G
51162,G
38142,PG
242643,PG-13
916192,PG-13
913001,PG
870360,PG
768744,PG-13
32536,NR
15242,G
20677,PG-13
13479,G
508422,PG
610892,
12092,G
10693,G
413770,
17074,PG
45752,PG
21832,NR
39108,PG
14003,PG-13
15359,PG-13
15137,PG-13
126963,PG-13
1295026,NR
1067282,R
895006,PG-13
820232,PG-13
781816,NR
53210,NR
15805,NR
20043,PG-13
667520,PG
560052,PG
430447,PG
475215,PG
228692,
28808,PG-13
64847,
12613,PG-13
15575,NR
100271,PG
19933,G
113082,
103269,PG-13
12140,PG-13
9994,G
895003,PG-13
234284,PG-13
323027,PG-13
53211,NR
9929,
12144,G
453191,G
487670,PG-13
487242,R
24232,NR
25078,
14571,NR
13246,G
64246,PG-13
296917,NR
20982,PG-13
118406,PG-13
80518,PG-13
16198,PG
212167,NR
34433,
166076,PG-13
408647,PG-13
366924,PG-13
9023,G
408220,R
10948,G
1338799,NR
1216221,R
1014505,R
646265,PG-13
586810,NR
789708,
24662,G
16907,PG-13
34003,NR
49948,G
39105,PG
13465,NR
618354,PG-13
532067,
620249,PG
537056,PG-13
21452,PG
17101,PG-13
14711,NR
9463,NR
9318,
79707,PG
411736,PG
11319,G
182131,
38060,
734002,R
15171,G
39107,PG
37910,
413594,PG-13
137227,PG
437220,NR
34295,R
31347,
42360,PG-13
26662,PG-13
267970,
19877,NR
21793,G
17681,NR
24752,PG
823,R
11135,G
217993,PG-13
379291,PG-13
3509,R
9016,PG
269246,NR
67409,NR
53217,NR
65291,PG
56590,PG
34067,PG
39148,
72215,
464882,PG
537059,PG-13
487672,PG-13
22752,G
11848,G
15947,G
9078,G
22537,PG-13
27273,
20771,G
362584,R
20410,
25961,G
52264,PG
32916,G
15601,PG
21057,PG-13
12924,
118412,R
15567,G
3179,PG-13
1857,PG
1047041,
942881,PG
798544,
186919,
732450,R
47388,NR
53219,NR
17581,PG-13
13851,PG-13
44729,PG-13
37100,NR
52954,NR
47626,PG
436120,PG
471474,R
537055,PG-13
482150,
390634,R
41077,
22561,PG
35648,
27716,R
