origin_country,movie_id
JP,129
JP,1333100
JP,12477
JP,533514
JP,1244492
FR,2011
DK,680813
IE,441130
 LU,441130
 US,441130
JP,149871
JP,128
JP,372058
JP,8392
JP,283566
JP,378064
US,8587
US,86517
US,13377
US,303867
,381028
US,10386
US,489412
JP,652837
US,40662
JP,504253
FR,22504
JP,362585
FR,126319
IL,8885
JP,110420
US,183011
JP,81
US,856
JP,1311031
JP,997317
JP,810693
US,14813
JP,4935
JP,508883
US,713776
JP,572154
US,618344
US,537061
US,13187
JP,36865
FR,9662
JP,15080
IE,110416
JP,10515
JP,12429
ES,838240
JP,812225
FR,682012
JP,11621
JP,10494
US,13353
US,812
JP,20722
JP,573730
ES,508965
JP,635302
JP,476292
US,10895
US,408
JP,212162
US,9081
JP,37797
JP,149
JP,916224
FR,712454
 LU,712454
US,16234
JP,21712
JP,13398
JP,568012
JP,378108
JP,33320
FR,41201
IE,435129
 CA,435129
BE,337703
 FR,337703
JP,4977
JP,9323
US,10674
JP,1575337
JP,1012201
GB,13396
JP,16859
JP,592350
JP,568160
GB,10857
BE,21348
 FR,21348
 LU,21348
US,472983
JP,13980
JP,14282
JP,14092
US,250480
US,76589
JP,149870
US,37135
JP,1357633
JP,1062807
JP,732203
FR,586940
JP,553600
JP,505262
JP,18874
FR,340357
 CA,340357
FR,16306
US,71689
US,13151
FR,11049
JP,92321
IE,26963
US,11704
JP,242828
JP,315465
JP,51739
US,11544
KR,1165642
FR,804370
JP,802401
JP,776305
JP,14069
JP,71883
US,53565
JP,503314
US,475946
FR,396899
JP,330081
JP,120811
BR,223706
JP,9606
US,354857
CA,292177
 US,292177
FR,9385
US,594328
JP,42994
JP,1056444
GB,995133
FR,947219
JP,887870
JP,820067
US,11688
CU,63498
 GB,63498
 ES,63498
US,9837
US,666243
ES,361705
US,3170
US,10882
US,11360
US,11224
US,20007
JP,15916
JP,41498
US,14919
JP,11299
US,11970
US,55931
JP,1159311
JP,900667
US,828898
US,664996
US,10545
JP,13754
US,504827
JP,642538
JP,521296
JP,530079
US,15374
US,10340
US,9325
CA,49565
 FR,49565
JP,14572
GB,30060
JP,15999
JP,317442
JP,22843
JP,28874
US,321528
US,69735
PL,339877
US,9444
JP,761898
FR,587092
 ES,587092
JP,579741
US,35
JP,15283
US,10150
US,10198
JP,430214
ES,510318
US,474395
DE,453364
 AT,453364
US,52032
FR,22501
JP,51859
JP,176983
JP,144288
GB,11837
JP,347201
JP,83389
JP,198375
JP,15370
US,51162
JP,38142
US,242643
JP,916192
JP,913001
US,870360
JP,768744
US,32536
US,15242
JP,20677
US,13479
JP,508422
JP,610892
US,12092
US,10693
GB,413770
US,17074
US,45752
JP,21832
JP,39108
JP,14003
US,15359
JP,15137
JP,126963
JP,1295026
JP,1067282
JP,895006
JP,820232
JP,781816
US,53210
US,15805
JP,20043
JP,667520
IE,560052
JP,430447
