title,id,overview,release_date,runtime,budget,revenue,origin_country,original_language,vote_average,vote_count,popularity,genres_list,production_companies_list,production_countries_list,director,release_year,release_month,release_weekday,release_weekday_num,profit,bayesian_rating,rev_bud_ratio,budget_in_2025_dollars,revenue_in_2025_dollars,profit_in_2025_dollars
Spider-Man: Across the Spider-Verse,569094,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,140,100000000,690897910,US,en,8.332,8484,28.9949,"Animation, Action, Adventure, Science Fiction","'Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions', 'Marvel Entertainment'",US,"Kemp Powers, Justin K. Thompson, Joaquim Dos Santos",2023.0,5.0,Wednesday,2.0,590897910,5.999486939646534,6.9089791,105678299.88849746,730129165.2531613,624450865.3646638
Spider-Man: Into the Spider-Verse,324857,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,117,90000000,394884133,US,en,8.393,17105,23.6672,"Animation, Action, Adventure, Science Fiction","'Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Arad Productions', 'Marvel Entertainment'",US,"Bob Persichetti, Peter Ramsey, Rodney Rothman",2018.0,12.0,Thursday,3.0,304884133,7.395807927835325,4.387601477777777,115410283.28579932,506374329.49552506,390964046.20972574
The Wild Robot,1184918,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,102,78000000,331982078,US,en,8.305,5949,28.6254,"Family, Animation, Science Fiction, Adventure",'DreamWorks Animation',US,Chris Sanders,2024.0,9.0,Thursday,3.0,253982078,5.595157420799339,4.256180487179488,80105999.97935176,340945594.01811737,260839594.0387656
Flow,823219,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,85,3700000,17660107,LV,lv,8.084,2760,19.2123,"Animation, Adventure, Fantasy, Family","'Dream Well Studio', 'Sacrebleu Productions', 'Take Five', 'ARTE France Cinéma', 'RTBF'","LV, BE, FR",Gints Zilbalodis,2024.0,8.0,Thursday,3.0,13960107,5.072740782699171,4.773001891891892,3799899.999020532,18136929.884325,14337029.885304466
Ratatouille,2062,"Remy, a rat, possesses a palate far more refined than that of his fellow comrades. He dreams of becoming a chef, one who creates rather than scavenges. When fate deposits him in the sewers beneath one of Paris’s most famous restaurants, he finds himself ideally placed to fulfill his dream. Forming an unusual alliance with a hapless young kitchen worker, Remy begins a daring culinary double life.  As Remy pursues his vision, he must navigate the suspicions of the calculating Head Chef Skinner, the disapproval of Remy’s own colony, and the foreboding presence of renowned food critic Anton Ego, who strikes fear in the hearts of chefs all throughout France.",2007-06-28,111,150000000,623726000,US,en,7.838,18370,13.9543,"Animation, Comedy, Family, Fantasy",'Pixar',US,Brad Bird,2007.0,6.0,Thursday,3.0,473726000,7.161019935889399,4.158173333333333,232950491.879576,968648523.320536,735698031.4409602
Coco,354912,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27,105,175000000,814641172,US,en,8.197,20852,22.9242,"Family, Animation, Music, Adventure",'Pixar',US,Lee Unkrich,2017.0,10.0,Friday,4.0,639641172,7.818121786205293,4.655092411428571,229890258.08831403,1070160395.8882664,840270137.7999523
Up,14160,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",2009-05-28,96,175000000,735103954,US,en,7.959,21565,19.3197,"Animation, Comedy, Family, Adventure",'Pixar',US,Pete Docter,2009.0,5.0,Thursday,3.0,560103954,7.706087750710774,4.200594022857143,262661472.2635256,1103334210.4250228,840672738.1614972
Finding Nemo,12,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",2003-05-30,100,94000000,940335536,US,en,7.817,20453,20.403,"Animation, Family, Adventure",'Pixar',US,Andrew Stanton,2003.0,5.0,Friday,4.0,846335536,7.425172500256758,10.003569531914891,164539023.7753114,1645977565.0497255,1481438541.274414
Inside Out,150540,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",2015-06-17,95,175000000,857611174,US,en,7.909,23361,21.7246,"Animation, Family, Adventure, Drama, Comedy",'Pixar',US,Pete Docter,2015.0,6.0,Wednesday,2.0,682611174,7.909,4.90063528,237749209.02298144,1165122161.530117,927372952.5071356
Toy Story,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-11-22,81,30000000,401157969,US,en,7.972,19769,22.7461,"Family, Comedy, Animation, Adventure",'Pixar',US,John Lasseter,1995.0,11.0,Wednesday,2.0,371157969,7.464176614387604,13.3719323,63393439.28688614,847692778.4084017,784299339.1215156
